"ADANI INSTITUTE OF INFRASTRUCTURE ENGINEERING, AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,5060,86.46049983
"Government Engineering College, Rajkot",COMPUTER ENGINEERING,5163,86.25111183
"L.D.College Of Engineering, Ahmedabad",ELECTRICAL ENGINEERING,5174,86.2199787
"Department of Engineering and Computing , Institute of Advance
Research, Gandhinagar",BIOTECHNOLOGY,5371,85.77893636
"G.H.Patel College Of Engg. & Tech. , V. V. Nagar",COMPUTER SCIENCE & DESIGN,5433,85.63064999
"L.D.College Of Engineering, Ahmedabad",CIVIL ENGINEERING,5887,84.51163927
"A.D.Patel Institute Of Tech., Karamsad",INFORMATION TECHNOLOGY,5982,84.29702478
New L.J. Institute of Engineering & Technology,COMPUTER SCIENCE & ENGINEERING,6068,84.10705279
"L.J. Institute Of Engg And Tech., Ahmedabad",COMPUTER SCIENCE & ENGINEERING,6215,83.72204449
"Faculty Of Technology(Sfi), Dharmsinh Desai University, Nadiad",ELECTRONICS & COMMUNICATION ENGINEERING,6800,82.35740224
"Institute Of Technology, Nirma University Of Science & Technology,
Ahmedabad",ELECTRICAL ENGINEERING,6913,82.09134325
"L.J. Institute Of Engg And Tech., Ahmedabad",INFORMATION TECHNOLOGY,7030,81.82171645
"Sardar Vallabhbhai Patel Institute Of Tech., Vasad",INFORMATION TECHNOLOGY,7132,81.57074618
"Shri Swami Atmanand Saraswati Institute Of Tech., Surat",COMPUTER ENGINEERING,7147,81.52629403
"Parul Institute of Technology, Waghodia, Vadodara",BIOTECHNOLOGY,7383,80.93566895
"Institute Of Technology, Nirma University Of Science & Technology,
Ahmedabad",ELECTRONICS & INSTRUMENTATION ENGINEERING,7484,80.70031117
"Sarvajanik College Of Engg. & Tech. , Surat",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,7595,80.42051436
"Vishwakarma Government Engineering College, Gandhinagar",CHEMICAL ENGINEERING,7649,80.29573545
